cycle_count,phase,start_date,end_date
20,min,1964-04-01,1965-04-30
20,asc,1965-05-01,1968-01-31
20,max,1968-02-01,1970-07-31
20,desc,1970-08-31,1976-01-31
21,min,1976-02-01,1976-11-30
21,asc,1976-12-01,1979-02-28
21,max,1979-03-01,1982-01-31
21,desc,1982-02-01,1985-06-30
22,min,1985-07-01,1987-01-31
22,asc,1987-02-01,1989-12-31
22,max,1989-01-01,1991-12-31
22,desc,1992-01-01,1995-08-31
23,min,1995-09-01,1997-03-31
23,asc,1997-04-01,1999-08-31
23,max,1999-09-01,2002-09-30
23,desc,2002-10-01,2006-12-31
24,min,2007-01-01,2010-03-31
24,asc,2010-04-01,2011-06-30
24,max,2011-07-01,2015-03-31
24,desc,2015-04-01,2017-07-31
25,min,2017-08-01,2021-02-28
25,asc,2021-03-01,2026-01-27
